form_id,level,attack,attack_interval,crit_rate,crit_damage,range,spirit_hp,spirit_def,spirit_regen,spirit_armor,unlock_effect,unlock_value
form_beast_01,17,40.0,0.396,0.18,2.28,0,0,0,0,0,,
form_artifact_01,1,10.0,0.9,0.10,1.80,80,0,0,0,0,,
form_artifact_01,2,12.5,0.864,0.10,1.80,83,0,0,0,0,,
form_artifact_01,3,15.0,0.837,0.11,1.86,87,0,0,0,0,ultimate_unlock,1
form_artifact_01,4,17.5,0.81,0.11,1.86,90,0,0,0,0,,
form_artifact_01,5,20.0,0.774,0.10,1.80,93,0,0,0,0,,
form_artifact_01,6,22.5,0.738,0.12,1.95,97,0,0,0,0,summon_count,1
form_artifact_01,7,25.0,0.711,0.12,1.95,100,0,0,0,0,,
form_artifact_01,8,27.5,0.684,0.10,1.80,103,0,0,0,0,,
form_artifact_01,9,30.0,0.648,0.14,2.04,107,0,0,0,0,summon_orbit_radius,20
form_artifact_01,10,32.5,0.612,0.14,2.04,110,0,0,0,0,,
form_artifact_01,11,35.0,0.585,0.10,1.80,113,0,0,0,0,,
form_artifact_01,12,37.5,0.549,0.15,2.13,117,0,0,0,0,summon_count,1
form_artifact_01,13,40.0,0.522,0.15,2.13,120,0,0,0,0,,
form_artifact_01,14,42.5,0.486,0.10,1.80,123,0,0,0,0,,
form_artifact_01,15,45.0,0.459,0.17,2.22,127,0,0,0,0,attack_speed,0.3
form_artifact_01,16,47.5,0.423,0.17,2.22,130,0,0,0,0,,
form_artifact_01,17,50.0,0.396,0.18,2.28,133,0,0,0,0,,
form_thunder_01,1,20.0,1.1,0.10,1.80,300,0,0,0,0,,
form_thunder_01,2,25.0,1.056,0.10,1.80,313,0,0,0,0,,
form_thunder_01,3,30.0,1.023,0.11,1.86,325,0,0,0,0,ultimate_unlock,1
form_thunder_01,4,35.0,0.99,0.11,1.86,338,0,0,0,0,,
form_thunder_01,5,40.0,0.946,0.10,1.80,350,0,0,0,0,,
form_thunder_01,6,45.0,0.902,0.12,1.95,363,0,0,0,0,bounce_count,1
form_thunder_01,7,50.0,0.869,0.12,1.95,375,0,0,0,0,,
form_thunder_01,8,55.0,0.836,0.10,1.80,388,0,0,0,0,,
form_thunder_01,9,60.0,0.792,0.14,2.04,400,0,0,0,0,bounce_range,50
form_thunder_01,10,65.0,0.748,0.14,2.04,413,0,0,0,0,,
form_thunder_01,11,70.0,0.715,0.10,1.80,425,0,0,0,0,,
form_thunder_01,12,75.0,0.671,0.15,2.13,438,0,0,0,0,bounce_decay_reduction,0.1
form_thunder_01,13,80.0,0.638,0.15,2.13,450,0,0,0,0,,
form_thunder_01,14,85.0,0.594,0.10,1.80,463,0,0,0,0,,
form_thunder_01,15,90.0,0.561,0.17,2.22,475,0,0,0,0,attack_speed,0.3
form_thunder_01,16,95.0,0.517,0.17,2.22,488,0,0,0,0,,
form_thunder_01,17,100.0,0.484,0.18,2.28,500,0,0,0,0,,
