no,class,faction,corr,heads,model,style,filename
66,support,mech,60,3.5,mj,s3d,demo-character-concept_portrait_b066_support-mech60_mj-s3d.png
88,support,mech,50,3,nbp,s3d,demo-character-concept_portrait_b088_support-mech50_nbp-s3d.png
67,strategist,mech,90,4.5,gpt2,kr,demo-character-concept_portrait_b067_strategist-mech90_gpt2-kr.png
4,general,mech,60,3.5,nbp,s3d,demo-character-concept_portrait_b004_general-mech60_nbp-s3d.png
6,general,mech,40,4,mj,west,demo-character-concept_portrait_b006_general-mech40_mj-west.png
37,general,mech,50,3,nbp,west,demo-character-concept_portrait_b037_general-mech50_nbp-west.png
39,general,mech,80,4,mj,west,demo-character-concept_portrait_b039_general-mech80_mj-west.png
49,general,mech,90,3.5,gpt2,s3d,demo-character-concept_portrait_b049_general-mech90_gpt2-s3d.png
46,warrior,bone,50,3,nbp,kr,demo-character-concept_portrait_b046_warrior-bone50_nbp-kr.png
57,assassin,bone,80,4,gpt2,kr,demo-character-concept_portrait_b057_assassin-bone80_gpt2-kr.png
60,assassin,bone,50,4,nbp,west,demo-character-concept_portrait_b060_assassin-bone50_nbp-west.png
64,assassin,bone,40,4,gpt2,s3d,demo-character-concept_portrait_b064_assassin-bone40_gpt2-s3d.png
74,assassin,bone,40,3.5,mj,west,demo-character-concept_portrait_b074_assassin-bone40_mj-west.png
93,assassin,bone,50,3,mj,west,demo-character-concept_portrait_b093_assassin-bone50_mj-west.png
70,support,bone,40,3.5,nbp,west,demo-character-concept_portrait_b070_support-bone40_nbp-west.png
99,strategist,bone,40,3.5,nbp,kr,demo-character-concept_portrait_b099_strategist-bone40_nbp-kr.png
68,general,bone,50,4,gpt2,west,demo-character-concept_portrait_b068_general-bone50_gpt2-west.png
77,general,bone,70,3.5,nbp,kr,demo-character-concept_portrait_b077_general-bone70_nbp-kr.png
79,general,bone,70,3.5,mj,west,demo-character-concept_portrait_b079_general-bone70_mj-west.png
13,warrior,carapace,70,3,gpt2,kr,demo-character-concept_portrait_b013_warrior-carapace70_gpt2-kr.png
18,warrior,carapace,90,4,nbp,west,demo-character-concept_portrait_b018_warrior-carapace90_nbp-west.png
23,warrior,carapace,60,3.5,gpt2,s3d,demo-character-concept_portrait_b023_warrior-carapace60_gpt2-s3d.png
44,warrior,carapace,70,3.5,gpt2,west,demo-character-concept_portrait_b044_warrior-carapace70_gpt2-west.png
45,warrior,carapace,80,4,gpt2,kr,demo-character-concept_portrait_b045_warrior-carapace80_gpt2-kr.png
71,warrior,carapace,60,3.5,nbp,west,demo-character-concept_portrait_b071_warrior-carapace60_nbp-west.png
62,assassin,carapace,30,3.5,mj,s3d,demo-character-concept_portrait_b062_assassin-carapace30_mj-s3d.png
81,assassin,carapace,40,3.5,nbp,kr,demo-character-concept_portrait_b081_assassin-carapace40_nbp-kr.png
86,assassin,carapace,40,3,mj,s3d,demo-character-concept_portrait_b086_assassin-carapace40_mj-s3d.png
90,assassin,carapace,90,4.5,mj,west,demo-character-concept_portrait_b090_assassin-carapace90_mj-west.png
91,assassin,carapace,80,4,nbp,kr,demo-character-concept_portrait_b091_assassin-carapace80_nbp-kr.png
25,support,carapace,90,3,gpt2,west,demo-character-concept_portrait_b025_support-carapace90_gpt2-west.png
36,support,carapace,90,3.5,nbp,s3d,demo-character-concept_portrait_b036_support-carapace90_nbp-s3d.png
38,support,carapace,30,4,mj,s3d,demo-character-concept_portrait_b038_support-carapace30_mj-s3d.png
40,support,carapace,70,4.5,gpt2,west,demo-character-concept_portrait_b040_support-carapace70_gpt2-west.png
53,support,carapace,60,4.5,gpt2,west,demo-character-concept_portrait_b053_support-carapace60_gpt2-west.png
7,strategist,carapace,80,4.5,gpt2,s3d,demo-character-concept_portrait_b007_strategist-carapace80_gpt2-s3d.png
29,strategist,carapace,40,3.5,nbp,west,demo-character-concept_portrait_b029_strategist-carapace40_nbp-west.png
61,strategist,carapace,60,4,mj,s3d,demo-character-concept_portrait_b061_strategist-carapace60_mj-s3d.png
72,strategist,carapace,60,4.5,nbp,s3d,demo-character-concept_portrait_b072_strategist-carapace60_nbp-s3d.png
73,strategist,carapace,60,4,mj,west,demo-character-concept_portrait_b073_strategist-carapace60_mj-west.png
95,strategist,carapace,60,4.5,gpt2,s3d,demo-character-concept_portrait_b095_strategist-carapace60_gpt2-s3d.png
96,strategist,carapace,50,3,gpt2,s3d,demo-character-concept_portrait_b096_strategist-carapace50_gpt2-s3d.png
26,general,carapace,80,3,nbp,west,demo-character-concept_portrait_b026_general-carapace80_nbp-west.png
75,general,carapace,80,3.5,gpt2,west,demo-character-concept_portrait_b075_general-carapace80_gpt2-west.png
84,general,carapace,60,3.5,gpt2,west,demo-character-concept_portrait_b084_general-carapace60_gpt2-west.png
87,general,carapace,50,3,gpt2,west,demo-character-concept_portrait_b087_general-carapace50_gpt2-west.png
98,general,carapace,90,3.5,gpt2,kr,demo-character-concept_portrait_b098_general-carapace90_gpt2-kr.png
19,warrior,flesh,50,4.5,nbp,west,demo-character-concept_portrait_b019_warrior-flesh50_nbp-west.png
54,warrior,flesh,70,3,gpt2,s3d,demo-character-concept_portrait_b054_warrior-flesh70_gpt2-s3d.png
76,warrior,flesh,50,4,gpt2,kr,demo-character-concept_portrait_b076_warrior-flesh50_gpt2-kr.png
27,assassin,flesh,80,3.5,mj,s3d,demo-character-concept_portrait_b027_assassin-flesh80_mj-s3d.png
33,assassin,flesh,30,4,mj,kr,demo-character-concept_portrait_b033_assassin-flesh30_mj-kr.png
34,assassin,flesh,40,3,nbp,s3d,demo-character-concept_portrait_b034_assassin-flesh40_nbp-s3d.png
51,assassin,flesh,90,3.5,gpt2,s3d,demo-character-concept_portrait_b051_assassin-flesh90_gpt2-s3d.png
82,assassin,flesh,30,3.5,nbp,west,demo-character-concept_portrait_b082_assassin-flesh30_nbp-west.png
92,assassin,flesh,70,3,nbp,s3d,demo-character-concept_portrait_b092_assassin-flesh70_nbp-s3d.png
80,support,flesh,70,4,mj,kr,demo-character-concept_portrait_b080_support-flesh70_mj-kr.png
89,support,flesh,70,3.5,gpt2,west,demo-character-concept_portrait_b089_support-flesh70_gpt2-west.png
85,strategist,flesh,80,4,nbp,kr,demo-character-concept_portrait_b085_strategist-flesh80_nbp-kr.png
94,strategist,flesh,90,3,nbp,kr,demo-character-concept_portrait_b094_strategist-flesh90_nbp-kr.png
14,general,flesh,90,3,gpt2,west,demo-character-concept_portrait_b014_general-flesh90_gpt2-west.png
52,general,flesh,50,3.5,nbp,s3d,demo-character-concept_portrait_b052_general-flesh50_nbp-s3d.png
65,general,flesh,40,3.5,nbp,west,demo-character-concept_portrait_b065_general-flesh40_nbp-west.png
69,general,flesh,70,4.5,nbp,kr,demo-character-concept_portrait_b069_general-flesh70_nbp-kr.png
100,general,flesh,80,4.5,gpt2,s3d,demo-character-concept_portrait_b100_general-flesh80_gpt2-s3d.png
